Description,Price,Review,Rating,Url
(Renewed) Lenovo Thinkpad 11e Laptop Yoga 360 Degr,16990,0,N/A,https://www.amazon.in/Lenovo-Thinkpad-Processor-Notebook-Computer/dp/B0BXJS6BJW/ref=sr_1_25?keywords=laptop&qid=1679028772&sr=8-25
Lenovo V14 Gen 2 Laptop with Intel Core i5-1135G7 ,49999,4,4.0,https://www.amazon.in/Lenovo-i5-1135G7-Integrated-Graphics-Warranty/dp/B088ZQZ4JP/ref=sr_1_26?keywords=laptop&qid=1679028772&sr=8-26
LG Gram17 Intel EVO-[12th Gen Core i7/Win11/16GB/5,102990,34,4.1,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NDU3NjczODIxNzk0MTA6MTY3OTAyODc3MjpzcF9tdGY6MjAxMTI0NDYwMDU0OTg6OjA6Og&url=%2FLG-Graphics-Thunderbolt4-Battery-Warranty%2Fdp%2FB0B4V8KMTZ%2Fref%3Dsr_1_27_sspa%3Fkeywords%3Dlaptop%26qid%3D1679028772%26sr%3D8-27-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
Apple 2022 MacBook Pro Laptop with M2 chip: 33.74 ,149900,22,4.5,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NDU3NjczODIxNzk0MTA6MTY3OTAyODc3MjpzcF9tdGY6MjAwNTYxNzYxMzQ1OTg6OjA6Og&url=%2F2022-Apple-MacBook-Laptop-chip%2Fdp%2FB0B3B8VZW2%2Fref%3Dsr_1_28_sspa%3Fkeywords%3Dlaptop%26qid%3D1679028772%26sr%3D8-28-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"Apple 2020 MacBook Air Laptop M1 chip, 13.3-inch/3",85990,4296,4.7,https://www.amazon.in/Apple-MacBook-Chip-13-inch-256GB/dp/B08N5W4NNB/ref=sr_1_29?keywords=laptop&qid=1679028772&sr=8-29
Xiaomi Notebook Pro QHD+IPS AntiGlare Display Inte,59990,1740,4.3,https://www.amazon.in/Notebook-Display-i5-11300H-Graphics-Fingerprint/dp/B098XL8VSM/ref=sr_1_30?keywords=laptop&qid=1679028772&sr=8-30
"Lenovo IdeaPad D330 Intel Celeron N4020 10.1""",21797,464,3.8,https://www.amazon.in/Lenovo-IdeaPad-Detachable-Warranty-82H0001YIN/dp/B09SV2B5SR/ref=sr_1_31?keywords=laptop&qid=1679028772&sr=8-31
"HP 15s, Ryzen 5-5500U, 16GB RAM/512GB SSD 15.6-inc",49990,160,4.3,https://www.amazon.in/HP-15-6-inches-Micro-Edge-Anti-Glare-15s-eq2182AU/dp/B0B4N77Y34/ref=sr_1_32?keywords=laptop&qid=1679028772&sr=8-32
"Dell Vostro 3420 Metal Laptop, Intel Core i5-1235U",66000,7,4.3,https://www.amazon.in/Dell-Vostro-Metal-i5-1235U-293420NC8R1O2MC1IN/dp/B0BQJ7WR2R/ref=sr_1_33?keywords=laptop&qid=1679028772&sr=8-33
Lenovo V14-IGL Intel Celeron N4020 4M Cache/ up to,24999,203,4.2,https://www.amazon.in/Lenovo-MS-Office-Lifetime-Validity-1920x1080/dp/B098V4QNJT/ref=sr_1_34?keywords=laptop&qid=1679028772&sr=8-34
Samsung Galaxy Book3 Pro 360 Intel 13th Gen i5 Evo,152990,1,5.0,https://www.amazon.in/Samsung-40-62cm-Touchscreen-Graphite-NP960QFG-KA2IN/dp/B0BS9GGMW5/ref=sr_1_35?keywords=laptop&qid=1679028772&sr=8-35
"(Renewed) HP 15s, 12th Gen Intel Core i5 8GB RAM/5",52347,1,2.0,https://www.amazon.in/HP-15-6-inch-Micro-Edge-Graphics-15s/dp/B0BC3CPMSH/ref=sr_1_36?keywords=laptop&qid=1679028772&sr=8-36
"Honor MagicBook 15, AMD Ryzen 5 5500U 15.6-inch",39990,301,4.3,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NDU3NjczODIxNzk0MTA6MTY3OTAyODc3MjpzcF9idGY6MjAwNzk1NDY5NTIwOTg6OjA6Og&url=%2FHonor-MagicBook-Anti-Glare-Fingerprint-BohrM-WDQ9CHNE%2Fdp%2FB0BC9S5DLW%2Fref%3Dsr_1_37_sspa%3Fkeywords%3Dlaptop%26qid%3D1679028772%26sr%3D8-37-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
