Description,Price,Review,Rating,Url
ASUS TUF Gaming A17 with 90Whr Battery Ryzen 7 Octa Core AMD R7,67990,133,4.4,https://www.flipkart.com//asus-tuf-gaming-a17-90whr-battery-ryzen-7-octa-core-amd-r7-4800h-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-144-hz-fa706icb-hx061w-fa706ic-hx036w-laptop/p/itm1d301df445d80?pid=COMGB732ZPGYB2JP&lid=LSTCOMGB732ZPGYB2JPYP6PAL&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_21&otracker=search&iid=de3a8396-aca7-43c8-9b56-d155ebe089e9.COMGB732ZPGYB2JP.SEARCH&ssid=2oxryql5ts0000001679028787783&qH=312f91285e048e09
ASUS Vivobook 15 Core i7 11th Gen ,53990,21,4.1,https://www.flipkart.com//asus-vivobook-15-core-i7-11th-gen-16-gb-512-gb-ssd-windows-11-home-x515ea-ej701ws-thin-light-laptop/p/itmb91512fec2b91?pid=COMGJTC4GY5PV8PD&lid=LSTCOMGJTC4GY5PV8PDYU63VL&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_22&otracker=search&iid=de3a8396-aca7-43c8-9b56-d155ebe089e9.COMGJTC4GY5PV8PD.SEARCH&ssid=2oxryql5ts0000001679028787783&qH=312f91285e048e09
DELL Core i5 12th Gen ,73990,3,4.4,https://www.flipkart.com//dell-core-i5-12th-gen-16-gb-512-gb-ssd-windows-11-home-new-inspiron-15-metal-laptop-thin-light/p/itm5f4212e9c967a?pid=COMGJ75HG3KKPEQS&lid=LSTCOMGJ75HG3KKPEQSTK0UZR&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_23&otracker=search&iid=de3a8396-aca7-43c8-9b56-d155ebe089e9.COMGJ75HG3KKPEQS.SEARCH&ssid=2oxryql5ts0000001679028787783&qH=312f91285e048e09
MSI Ryzen 7 Octa Core 5700U ,52990,13,4.2,https://www.flipkart.com//msi-ryzen-7-octa-core-5700u-8-gb-512-gb-ssd-windows-11-home-modern-15-a5m-280in-notebook/p/itm6f39f9e859ea0?pid=COMGGJMYS2D88GQP&lid=LSTCOMGGJMYS2D88GQPFEETG9&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_24&otracker=search&iid=en_h1MpMMun7jgyT1sqSUfQnmK57mnucHTVo1YS9ar7vG6PHxKNL6WUtIlSo2lPA702rMWzHqnGzmZdfVNU6DB9ng%3D%3D&ssid=2oxryql5ts0000001679028787783&qH=312f91285e048e09
ASUS VivoBook 15 (2022) Core i3 10th Gen ,33490,1081,4.3,https://www.flipkart.com//asus-vivobook-15-2022-core-i3-10th-gen-8-gb-512-gb-ssd-windows-11-home-x515ja-ej362ws-x515ja-ej392ws-x515ja-ej382ws-thin-light-laptop/p/itm8e0e9c901e006?pid=COMG87FFPEDAAGXW&lid=LSTCOMG87FFPEDAAGXWTMCIPI&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_25&otracker=search&iid=9fadefde-753b-4101-8315-8f9fb5c46827.COMG87FFPEDAAGXW.SEARCH&ssid=j3gb01i3b40000001679028789710&qH=312f91285e048e09
HP 15s Intel Core i3 12th Gen ,44990,29,4.2,https://www.flipkart.com//hp-15s-intel-core-i3-12th-gen-8-gb-512-gb-ssd-windows-11-home-15s-fq5007tu-thin-light-laptop/p/itm559f5c880dc4a?pid=COMGKW2NSU4SPZSG&lid=LSTCOMGKW2NSU4SPZSGEOIPKZ&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_26&otracker=search&iid=9fadefde-753b-4101-8315-8f9fb5c46827.COMGKW2NSU4SPZSG.SEARCH&ssid=j3gb01i3b40000001679028789710&qH=312f91285e048e09
HP Athlon Dual Core 3050U ,27990,83,4,https://www.flipkart.com//hp-athlon-dual-core-3050u-8-gb-256-gb-ssd-windows-11-home-14s-fq0568au-thin-light-laptop/p/itm69710a61fcfdf?pid=COMGG63HHFBZ2BZP&lid=LSTCOMGG63HHFBZ2BZPO05AZF&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_27&otracker=search&iid=9fadefde-753b-4101-8315-8f9fb5c46827.COMGG63HHFBZ2BZP.SEARCH&ssid=j3gb01i3b40000001679028789710&qH=312f91285e048e09
Lenovo IdeaPad 3 Core i3 11th Gen ,33990,71,4.2,https://www.flipkart.com//lenovo-ideapad-3-core-i3-11th-gen-8-gb-256-gb-ssd-windows-11-home-14itl05-thin-light-laptop/p/itme5d4463121c64?pid=COMG9VKERHP4FACH&lid=LSTCOMG9VKERHP4FACHOL4YVH&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_28&otracker=search&iid=en_z%2BdkiFEQAQtiJ4ucWxVKjcMSH5H5h6xVl4wf9rS3YvyBz1vfZpFFG86iaWUKtXDSgKi1nd4qoCaFDcvdIK0Gng%3D%3D&ssid=j3gb01i3b40000001679028789710&qH=312f91285e048e09
MSI Bravo 15 Ryzen 5 Hexa Core AMD R5,49990,322,4.4,https://www.flipkart.com//msi-bravo-15-ryzen-5-hexa-core-amd-r5-5600h-8-gb-512-gb-ssd-windows-11-home-4-graphics-amd-radeon-rx-5500m-144-hz-b5dd-410in-gaming-laptop/p/itm12cedc4da03bc?pid=COMGGHMQVWN6JJGC&lid=LSTCOMGGHMQVWN6JJGCTAUNJV&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_29&otracker=search&iid=9fadefde-753b-4101-8315-8f9fb5c46827.COMGGHMQVWN6JJGC.SEARCH&ssid=j3gb01i3b40000001679028789710&qH=312f91285e048e09
Lenovo IdeaPad Slim 3 Core i3 11th Gen ,33490,,,https://www.flipkart.com//lenovo-ideapad-slim-3-core-i3-11th-gen-8-gb-256-gb-ssd-windows-11-home-15itl05-thin-light-laptop/p/itm409e7356d6162?pid=COMGN29YGMXF5DNH&lid=LSTCOMGN29YGMXF5DNHZKTYJV&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_30&otracker=search&iid=9fadefde-753b-4101-8315-8f9fb5c46827.COMGN29YGMXF5DNH.SEARCH&ssid=j3gb01i3b40000001679028789710&qH=312f91285e048e09
